Type+No		Offset		Thread

Gif1 		500256768 		5
Gif2 		2701152288 		27
Gif3 		2801169408 		28
Gif4 		901163520 		9
Gif5 		3601260544 		36
Gif6 		2100949504 		21
Gif7 		2100949760 		21
Gif8 		2100950528 		21
Gif9 		2100950784 		21
Gif10 		2100951552 		21
Gif11 		1702097152 		17
Gif12 		2603921408 		26
Gif13 		2400718592 		24
Gif14 		1905520672 		19
Gif15 		1201795072 		12
Gif16 		3105125952 		31
Gif17 		2505411584 		25
Gif18 		7299104 		0
Gif19 		4708458240 		47
Gif20 		1409635072 		14
Gif21 		1409636352 		14
Gif22 		1409636608 		14
Gif23 		1409636864 		14
Gif24 		1409638144 		14
Gif25 		110426544 		1
Gif26 		2111438384 		21
Gif27 		114466848 		1
Gif28 		1513971744 		15
Gif29 		1415888183 		14
Gif30 		1618239552 		16
Gif31 		1319321832 		13
Gif32 		3520384768 		35
Gif33 		720789568 		7
Gif34 		2919813120 		29
Gif35 		3222437920 		32
Gif36 		1522136480 		15
Gif37 		4429352992 		44
Gif38 		3328929824 		33
Gif39 		4327346208 		43
Gif40 		1630078720 		16
Gif41 		2331226144 		23
Gif42 		3337015392 		33
Gif43 		1137176832 		11
Gif44 		1137179392 		11
Gif45 		1137179648 		11
Gif46 		1137179904 		11
Gif47 		2132406272 		21
Gif48 		2841559040 		28
Gif49 		641425440 		6
Gif50 		2141249568 		21
Gif51 		2941183930 		29
Gif52 		2941224528 		29
Gif53 		545454360 		5
Gif54 		4746977312 		47
Gif55 		4746981408 		47
Gif56 		3445228960 		34
Gif57 		3445229984 		34
Gif58 		2745678080 		27
Gif59 		2745678592 		27
Gif60 		3245985792 		32
Gif61 		3245986560 		32
Gif62 		4547117088 		45
Gif63 		1247280128 		12
Gif64 		248736320 		2
Gif65 		3549288192 		35
Gif66 		3549288960 		35
Gif67 		4452638720 		44
Gif68 		4652736544 		46
Gif69 		255682304 		2
Gif70 		352402432 		3
Gif71 		352402688 		3
Gif72 		1054765312 		10
Gif73 		1054765568 		10
Gif74 		2252705824 		22
Gif75 		4757180448 		47
Gif76 		562163744 		5
Gif77 		4662128672 		46
Gif78 		1864667168 		18
Gif79 		1864921120 		18
Gif80 		1361482752 		13
Gif81 		1361483520 		13
Gif82 		1361484544 		13
Gif83 		1361485312 		13
Gif84 		1361485568 		13
Gif85 		2762134528 		27
Gif86 		268815223 		2
Gif87 		2571915264 		25
Gif88 		3467504864 		34
Gif89 		872054300 		8
Gif90 		368963952 		3
Gif91 		2270838528 		22
Gif92 		2171490368 		21
Gif93 		1777155728 		17
Gif94 		576039488 		5
Gif95 		3471381920 		34
Gif96 		3471383968 		34
Gif97 		3275290112 		32
Gif98 		3275291904 		32
Gif99 		3275292160 		32
Gif100 		576081152 		5
Gif101 		478121506 		4
Gif102 		2974732320 		29
Gif103 		3082716112 		30
Gif104 		2277634080 		22
Gif105 		3472503392 		34
Gif106 		3277895072 		32
Gif107 		481744640 		4
Gif108 		3087305280 		30
Gif109 		285061632 		2
Gif110 		285063168 		2
Gif111 		2882961440 		28
Gif112 		1884008480 		18
Gif113 		1984004128 		19
Gif114 		1092206880 		10
Gif115 		2588222208 		25
Gif116 		2286807008 		22
Gif117 		2089017408 		20
Gif118 		187228160 		1
Gif119 		1992151152 		19
Gif120 		1484730368 		14
Gif121 		1384783272 		13
Gif122 		1893311232 		18
Gif123 		1893314304 		18
Gif124 		790707200 		7
Gif125 		4493284864 		44
Gif126 		4493285120 		44
Gif127 		4493286912 		44
Gif128 		4493287168 		44
Gif129 		1490944628 		14
Gif130 		793178743 		7
Gif131 		1389732608 		13
Gif132 		1389732864 		13
Gif133 		1389733120 		13
Gif134 		1389733632 		13
Gif135 		2098286987 		20
Gif136 		795172864 		7
Gif137 		2393414844 		23
Gif138 		3496369920 		34
Gif139 		397455392 		3
Gif140 		1695260704 		16
Gif141 		2699401728 		26
